party,text
GroenLinks-PvdA,"De heer Klaver (GroenLinks-PvdA): Voorzitter, dank. Vanavond staat er een debat op de agenda over de uit de hand gelopen protesten en het geweld, maar het debat over migratie is nog bezig. Dat is terecht. Dat is een belangrijk onderwerp en een wetsbehandeling, dus daar moet ook alle tijd voor zijn. Maar daarmee lopen we wel heel ver uit de tijd. Voordat je het weet zijn we hier om 4.00 uur 's nachts nog met elkaar over dat belangrijke onderwerp aan het debatteren. Nu heb ik begrepen dat er dinsdag ook ruimte is in het schema. Ik zou willen voorstellen dat we dinsdag het debat met elkaar voeren."
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Ik vind dit echt een vertoning. Nederland staat in brand. Overal maken mensen zich grote zorgen over de ongebreidelde instroom van asielzoekers. De heer Klaver, gesteund door de meerderheid, vindt het niet nodig om daar vanavond over te debatteren. Ik vind het werkelijk ongekend. Geen steun voor dit verzoek. Daarbij komt dat als we het dinsdag plannen na de reguliere agenda, het ook weer veel en veel te laat wordt. In de wereld van de heer Klaver … Ik ben er. Ik kom debatteren en voorstellen doen om iets te doen aan de instroom, maar wat mij betreft kan dat vanavond en moet dat vanavond."
D66,"De heer Van Asten (D66): Voorzitter. We zijn hier in deze zaal inderdaad al de hele dag aan het debatteren over het onderwerp dat ook vanavond op de agenda staat. Daar hadden alle voorstellen dus ook neergelegd kunnen worden. Een debat voeren waar zo veel mensen naar willen kijken, wat uiteindelijk dan tot diep in de nacht zou duren, daar schiet Nederland ook niks mee op. Helaas dus, maar steun voor het voorstel van de heer Klaver."
FVD,"Mevrouw De Vos (FVD): Voorzitter. Deze Kamer wilde het niet hebben over een inhoudelijke oplossing voor de instroom, maar per se wel dit onzindebat voeren. Nu wil de Kamer het weer gaan uitstellen. We moeten het hebben over de inhoud. Geen steun dus voor het voorstel om dit debat nog uitgebreider op een ander moment te voeren. Als we het dan per se willen voeren, laten we het dan maar gewoon vanavond doen."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Het debat dat we nu hebben over de vreemdelingenbewaring is nog niet voorbij. Er is nog een tweede termijn van de minister. Dat betekent dat we hier misschien nog wel dik een uur zitten. Dan is het 20.00 uur. Ik ben het zeker met mevrouw Keijzer eens dat hier urgentie achter zit, maar wij hebben ook een taak richting de mensen die hier in de Tweede Kamer werken: de bodes, de staf, de griffier. Ik voorzie dat dit gewoon echt tot diep in de nacht gaat duren. Dat maakt het debat er ook niet beter op, overigens. Dan gaat de aandachtsspanne weg en kunnen we niet goed inhoudelijk debatteren. Dat is de reden waarom ik steun geef aan het verzoek om het uit te stellen. Wel heb ik daar een opmerking of vraag bij. Ik voel me ook niet zo lekker bij de titel en de insteek van het debat. Er staat nog een asieldebat. Volgens mij kan alles wat hier in dit debat besproken zou worden, ook bij dat asieldebat dat er nog staat. Mijn voorstel zou dus zijn om dit dinsdag te plannen, maar dan tijdens het asieldebat en eventueel met de woordvoerders die nu ingeschreven staan."
PvdD,"Mevrouw Ouwehand (PvdD): Voorzitter, dank. Fijn dat u ook opmerkt dat we hier ons werk alleen maar kunnen doen dankzij de medewerkers die ons helpen. Als dit debat pas na achten kan beginnen met vier bewindspersonen, weten we gewoon dat het écht veel te laat wordt, dus steun voor het verzoek om het dinsdag te doen."
JA21,"De heer Ceulemans (JA21): Ik vond de hele aanvraag al één groot circus, het hele debat wordt één groot circus en ik vind dit ook weer een beetje een circus. Ik heb ook niet het idee dat het nou zó ver aan het uitlopen is. Ik vind het dus goed als het debat vandaag niet doorgaat, maar ik wil dan dat het dinsdag ook niet doorgaat. In ieder geval geen steun voor het verplaatsen dan, maar er is kennelijk al een meerderheid."
PVV,"De heer Graus (PVV): Over aangehouden moties gesproken: ik wil graag twee moties aanhouden onder punt 7, de stemmingen over moties ingediend bij het tweeminutendebat Luchtvaart. Het gaat over twee moties van het lid Graus: die op stuk nr. 1282 (31936) en die op stuk nr. 1283 (31936). Ik wil geen broedende kippen van de nesten af schoppen."
GroenLinks-PvdA,"Mevrouw Bromet (GroenLinks-PvdA): Voorzitter, dank u wel. Wij hebben een brief van de minister van LVVN gekregen waarin staat dat hij in de week voor het zomerreces komt met een pakket om de stikstofcrisis aan te pakken. Mevrouw Van der Plas van de BBB heeft al eerder een debat hierover aangevraagd. Mijn verzoek is erop gericht om dit debat plenair te houden in de laatste week voor het reces."
DENK,"De heer El Abassi (DENK): Voorzitter. Mensen levend in brand willen steken door terroristen die de brandweer vervolgens weer tegenhouden; dat is wat er in Loosdrecht is gebeurd. Vluchtelingen, agenten en raadsleden worden belaagd met vuurwerk en fakkels. Keer op keer heb ik gewaarschuwd voor de gevolgen van extreemrechtse ophitsing en complottheorieën, zoals omvolking, ook vanuit dit huis. Burgemeesters en bestuurders worden bedreigd en spreken inmiddels ook van ""terreur en intimidatie"". Voor de zoveelste keer verzoek ik om een debat met de minister van Justitie en Veiligheid."
